tech_id,name_th,school,branch,parent,req_prof,power,weight,sp,element,scope,hits,ignore_def,self_av_mult,target_av_mult,ignore_pos,free_row,note,status,status_chance
bl0,ฟัน,คม,,,0,100,1,0,ฟัน,single,1,0.0,1.0,1.0,0,0,ท่าเริ่มต้น ไม่มี SP,,0.0
bl1,เขี้ยวพุ่ง,คม,เขี้ยว,ฟัน,8,145,1.2,8,ฟัน,single,1,0.0,1.0,1.0,0,0,ดาเมจเดี่ยวสูงสุดในช่วงต้น,,0.0
bl2,เขี้ยวพัน,คม,เขี้ยว,เขี้ยวพุ่ง,40,62,1.4,22,ฟัน,single,3,0.0,1.0,1.0,0,0,โจมตี 3 ครั้ง — ยิงจุดอ่อนซ้ำได้,เลือดไหล,0.5
bl3,กวาด,คม,กวาด,ฟัน,12,90,1.1,10,ฟัน,row,1,0.0,1.0,1.0,0,0,,,0.0
bl4,วงล้อ,คม,กวาด,กวาด,45,130,1.4,25,ฟัน,all,1,0.0,1.0,1.0,0,0,,,0.0
bl5,ปาดไว,คม,ลื่นไหล,ฟัน,16,80,0.7,6,ฟัน,single,1,0.0,1.0,1.0,0,0,น้ำหนักต่ำมาก ใช้จัดคิวยิงคอมโบ,,0.0
bl6,เงาสองคม,คม,ลื่นไหล,ปาดไว,42,70,0.9,18,ฟัน,single,2,0.0,1.0,1.0,0,0,โจมตี 2 ครั้ง น้ำหนักยังต่ำ,เลือดไหล,0.4
bt0,ทุบ,ทุบ,,,0,100,1.1,0,ทุบ,single,1,0.0,1.0,1.0,0,0,ท่าเริ่มต้น,,0.0
bt1,หักเกราะ,ทุบ,ทลาย,ทุบ,18,110,1.2,12,ทุบ,single,1,0.4,1.0,1.0,0,0,เพิกเฉย DEF 40%,,0.0
bt2,ทำลายล้าง,ทุบ,ทลาย,หักเกราะ,44,150,1.5,26,ทุบ,single,1,0.6,1.0,1.0,0,0,เพิกเฉย DEF 60%,,0.0
