monster_id,name_th,name_en,region,sublocation,tier,ec_min,ec_max,grid_pos,hp,atk,def,spd,weak,resist,immune,signature_tech,signature_en,tech_effect,tech_school,comprehension,tech_slots,teaches,drop,drop_rate,ai_profile,is_boss,status,status_chance
M01,สไลม์เถ้า,Ash Slime,ที่ราบเถ้า,ทุ่งเถ้า,5,0,6,หน้า,70,35,20,80,ไฟ,ทุบ,,แยกร่าง,Split,แตกเป็น 2 ตัว HP ครึ่ง เมื่อโดนโจมตีเดี่ยว,,3,1,สอนคุณค่าของ AoE,เมือกเถ้า,60,passive,0,,0.0
M02,หนูท่อ,Sewer Rat,ที่ราบเถ้า,ทุ่งเถ้า,6,0,8,หน้า,60,38,15,130,ทุบ,,,กัดฝูง,Swarm Bite,AoE แถวหน้า ดาเมจ 60%,,3,1,สอน AoE แบบแถว,หนังหนู,70,aggressive,0,,0.0
M03,หนอนหิน,Stone Grub,ที่ราบเถ้า,ถ้ำหนอน,8,0,8,หน้า,90,40,60,70,ทุบ,ฟัน,,เกราะแข็ง,Harden,DEF ตัวเอง +40% 3 เทิร์น,,3,1,สอนสูตร Mitigation ว่า DEF สำคัญ,หินดิบ,50,defensive,0,พิษ,0.5
M04,เห็ดพิษ,Blight Cap,ที่ราบเถ้า,ถ้ำหนอน,9,0,10,หลัง,80,36,25,65,ไฟ,,,สปอร์พิษ,Blight Spore,พิษ AoE คอลัมน์ 3 เทิร์น,,3,1,สอนสถานะ + AoE คอลัมน์,สปอร์,55,support,0,พิษ,0.6
M05,กาสามตา,Tri-eyed Crow,ที่ราบเถ้า,ทุ่งเถ้า,10,0,10,หลัง,75,42,20,140,สายฟ้า,,,จับตาจุดอ่อน,Mark Weakness,เปิดเผยจุดอ่อนเป้าหมาย ทีมได้ความเข้าใจ +2,,3,1,สอนระบบจุดอ่อน,ขนดำ,45,support,0,,0.0
M06,ค้างคาวเงา,Shade Bat,ที่ราบเถ้า,ถ้ำหนอน,12,1,12,หน้า,60,55,25,145,แสง,มืด,,ผลุบผลับ,Flicker,ลด AV ตัวเอง 30% ครั้งเดียวต่อการต่อสู้,,3,1,*** สอนระบบคิว AV ทั้งระบบ ***,ปีกบาง,50,harasser,0,หน่วง,0.7
M07,ผีไฟป่า,Wisp,ที่ราบเถ้า,ซากหมู่บ้าน,13,1,12,หลัง,70,50,18,120,น้ำแข็ง,,ไฟ,ลุกโชน,Kindle,เปลี่ยนธาตุตัวเองเป็นไฟ + ภูมิคุ้มกันไฟ,Black,3,1,สอนธาตุแปรผัน,เถ้าเรือง,40,caster,0,,0.0
M08,โครงกระดูกเดินเวร,Watch Skeleton,ที่ราบเถ้า,ซากหมู่บ้าน,14,2,12,หน้า,120,52,45,85,ทุบ,แทง,,ยืนขวาง,Bulwark,ดึงการโจมตีมาที่ตัวเอง 2 เทิร์น,,3,1,สอนแท้งก์และการจัดตำแหน่ง,กระดูกผุ,60,defensive,0,,0.0
M09,ตุ๊กตาไม้,Wooden Effigy,ที่ราบเถ้า,ซากหมู่บ้าน,15,2,14,หลัง,100,45,35,75,ไฟ,,,สลับที่,Displace,สลับตำแหน่งกริดกับพันธมิตร,Red,3,1,สอนระบบกริด 3x3,ไม้สลัก,45,support,0,,0.0
M10,แมงมุมสาน,Weaver Spider,ที่ราบเถ้า,ถ้ำหนอน,16,2,14,หลัง,110,58,30,110,ไฟ,,,ใยตรึง,Snare Web,เป้าหมาย ActionWeight x1.5 เป็นเวลา 3 เทิร์น,Red,5,1,สอนการหน่วงคิวศัตรู,ใยเหนียว,50,harasser,0,ตรึง,0.6
M11,คนเถื่อนถือขวาน,Ash Brute,ที่ราบเถ้า,ทุ่งเถ้า,18,3,14,หน้า,160,70,40,80,แทง,,,ทุบทลาย,Sunder,เพิกเฉย DEF 50% ของเป้าหมาย,,5,1,สอนการเจาะเกราะ,ขวานบิ่น,35,aggressive,0,,0.0
M12,นักบวชโทรม,Withered Acolyte,ที่ราบเถ้า,ซากหมู่บ้าน,20,3,16,หลัง,110,60,35,90,แสง,,,คำสาปหนัก,Leaden Curse,เป้าหมาย AV +30%,Red,5,1,สอนโทษ PosMult ของแถวหลัง,ตำราฉีก,30,caster,0,หน่วง,0.6
M13,โจรทางหลวง,Road Bandit,ที่ราบเถ้า,ทุ่งเถ้า,22,4,16,หน้า,150,68,38,125,ทุบ,,,ชิงของ,Cutpurse,ขโมย SP 30% ของเป้าหมาย,,5,1,สอนการจัดการ SP,ถุงเงิน,65,harasser,0,,0.0
M14,งูเถ้าสองหัว,Twin-head Adder,ที่ราบเถ้า,ถ้ำหนอน,24,4,16,หน้า,170,64,42,115,น้ำแข็ง,มืด,,กัดสองครั้ง,Twin Fang,โจมตี 2 ครั้ง แต่ AV +20%,,5,1,สอนการแลกคิวกับดาเมจ,เขี้ยวคู่,40,aggressive,0,พิษ,0.55
M15,หมาป่าคู่,Pair Wolf,ที่ราบเถ้า,ทุ่งเถ้า,25,5,18,หน้า,130,85,40,135,ไฟ,,,ล่าเป็นคู่,Pack Hunt,ถ้า 2 ตัวติดกันในคิว ยิงคอมโบ x1.6,,5,2,*** ศัตรูใช้คอมโบเล่นงานคุณก่อน ***,เขี้ยวหมาป่า,45,pack,0,เลือดไหล,0.4
M16,ปลาปากขวาน,Hatchet Maw,เมืองใต้ซาก,ท่อระบาย,27,5,18,หน้า,220,100,50,105,สายฟ้า,,,ฉีกกระชาก,Rend,ดาเมจ x1.4 + เลือดไหล 3 เทิร์น,,3,1,สอนดาเมจต่อเนื่อง,ฟันคม,50,aggressive,0,เลือดไหล,0.6
M17,ทหารกลไก,Clockwork Sentry,เมืองใต้ซาก,หอนาฬิกา,28,6,18,หน้า,260,95,70,90,สายฟ้า,แทง,,ไขลาน,Wind Up,SPD ตัวเอง +50% 3 เทิร์น,Red,5,1,สอนการเร่งคิวตัวเอง,เฟืองทอง,40,defensive,0,,0.0
M18,ทหารซากไร้หัว,Headless Ward,เมืองใต้ซาก,จตุรัสจม,29,6,20,หน้า,240,105,65,85,แสง,,,ยืนตายไม่ได้,Undying Post,HP ถึง 0 แล้วยังอยู่ต่อ 1 เทิร์น,White,5,2,สอนการจัดลำดับสังหาร,เกราะจม,45,defensive,0,,0.0
M19,นักเวทย์เร่ร่อน,Wandering Hexer,เมืองใต้ซาก,จตุรัสจม,30,7,20,หลัง,200,110,55,100,ทุบ,,,ใส่จุดอ่อน,Impose Frailty,บังคับให้เป้าหมายอ่อนแอต่อธาตุที่เลือก 3 เทิร์น,Red,5,2,*** รากของสาย Red ***,ตำรา Red ระดับ 2,25,caster,0,,0.0
M20,แมงป่องเหล็ก,Iron Scorpion,เมืองใต้ซาก,ท่อระบาย,31,7,20,หน้า,280,115,80,95,ทุบ,ฟัน,,เข็มเจาะ,Piercing Sting,ตีแถวหลังโดยไม่เสีย PosMult,,5,1,สอนคุณค่าอาวุธระยะไกล,เหล็กก้าม,45,aggressive,0,,0.0
